序号,所属专业,作业类别,作业任务,需进一步评估作业导致设备故障并引发电网风险的前置条件,需评估电网风险的设备故障情况,导致故障的过程
1,变电,维护,电气设备机构箱、端子箱维护或清扫,维护或清扫机构箱、端子箱存在运行的二次控制、电流回路，工作对象涉及箱体内二次元件、接线及端子排,维护或清扫机构箱、端子箱二次控制、电流回路涉及的一次设备失压,在使用不合格工器具或工器具操作方法错误的情况下，误碰开关或刀闸控制回路，导致开关、刀闸误动，相关设备失压；误碰二次电流回路，导致保护装置误动，相关设备失压
2,变电,维护,带电水冲洗,/,全站涉及水冲洗的任一母线、线路、主变失压,未落实带电水冲洗安全措施，导致被冲洗设备发生短路故障失压
3,变电,操作,新设备、新变电站启动,启动步骤涉及保护装置定值调整,保护装置在定值调整不正确情况下误动、拒动导致失压的设备,启动期间保护装置定值调整不正确，导致保护装置误动，引起相应一次设备跳闸失压；或导致保护装置在一次设备故障时拒动，其它一次设备越级跳闸失压
4,变电,操作,双母线热倒母,/,热倒的双母线同时失压,1.倒闸操作期间双母线互联，若发生母线或母线侧设备故障将导致热倒的双母线同时失压 2.热倒期间，母线侧隔离开关合不到位，运行人员未及时发现并拉开另一母线侧隔离开关，导致热倒的双母线同时失压
5,变电,操作,220kV开关旁路代路及恢复,/,被代线路或主变失压,未按要求开展被代间隔或旁路间隔的二次设备操作，导致二次设备误动，被代线路或主变失压
6,变电,操作,二次设备操作（涉及多个出口或联跳压板投入）,/,操作投入的出口压板涉及的设备同时失压,使用不合格工器具或工器具操作方法错误，导致出口压板负极端接地，跳闸回路流经振荡接地电流误动，同时操作人员未能及时发现，相应一次设备失压
7,变电,检修,电流互感器( SF6电磁式电压互感器) B类检修,电流互感器二次电流回路带电,电流互感器二次电流回路涉及的母线、线路或主变失压,紧固电流互感器接线端子盒内的二次接线端子，作业不规范导致二次回路接地，保护装置误动，母线、线路或主变失压
8,变电,检修,母线侧隔离开关及接地开关B类检修,涉及检修隔离面设备作业且无可靠防误闭锁措施,检修隔离面设备涉及的母线,误合隔离开关电机电源，同时误碰接触器导致误合隔离开关，母线接地故障
9,变电,预试,GIS（H-GIS）预防性试验（电气部分）,检修间隔连接的母线带电，需在汇控箱拆接线且无可靠防误闭锁措施,检修间隔连接的母线失压,在GIS汇控箱内误接线导致母线侧隔离开关误动、接地，母线失压
10,变电,预试,须使用移动绝缘梯登梯6米及以上高度的高压试验,绝缘梯倾倒范围内存在带电运行设备,绝缘梯倾倒范围内带电设备失压,绝缘梯倾倒误碰带电设备导致失压
