表名,表注释,字段名,数据类型,是否可空,键类型,字段注释
dm_device,设备信息表,ID,varchar,NO,PRI,业务ID
dm_device,设备信息表,PROVINCE_CODE,varchar,YES,,省编码
dm_device,设备信息表,BUREAU_CODE,varchar,NO,MUL,局编码
dm_device,设备信息表,DEVICE_CODE,varchar,YES,UNI,编码
dm_device,设备信息表,DEVICE_NAME,varchar,NO,,设备名称
dm_device,设备信息表,CLASSIFY_ID,varchar,NO,MUL,设备类别ID
dm_device,设备信息表,PLANT_TRANSFER_DATE,datetime,YES,MUL,投运日期
dm_device,设备信息表,ASSET_STATE,int,YES,,资产状态：1、运行，2、在建，3、报废，4、待投运，5、闲置，6、删除，7、退运，8、备用，9、停运，10待备用
dm_device,设备信息表,VENDOR_ID,varchar,YES,,供应商ID
dm_device,设备信息表,VENDOR,varchar,YES,,供应商
dm_device,设备信息表,MANUFACTURER_ID,varchar,YES,,厂家ID
dm_device,设备信息表,MANUFACTURER,varchar,YES,,厂家名称
dm_device,设备信息表,LATEST_MANUFACTURER,varchar,YES,,厂家现用名
dm_device,设备信息表,DEVICE_MODEL_ID,varchar,YES,,设备型号ID
dm_device,设备信息表,DEVICE_MODEL,varchar,YES,MUL,型号
dm_device,设备信息表,LEAVE_FACTORY_NO,varchar,YES,,出厂编号
dm_device,设备信息表,LEAVE_FACTORY_DATE,datetime,YES,,出厂日期
dm_device,设备信息表,USE_LIFE,int,YES,,使用寿命（年）
dm_device,设备信息表,PROPRIETOR_COMPANY_OID,varchar,YES,,产权单位ID
dm_device,设备信息表,PROPRIETOR_COMPANY_ONAME,varchar,YES,,产权单位名称
dm_device,设备信息表,CAPITAL_ASSETS_CODE,varchar,YES,,资产编码
dm_device,设备信息表,MEASUREMENT_UNIT,varchar,YES,,计量单位
dm_device,设备信息表,VINDICATOR_UNIT_OID,varchar,YES,,维护单位ID
dm_device,设备信息表,VINDICATOR_UNIT_ONAME,varchar,YES,,维护单位名称
dm_device,设备信息表,DISPATCH_LEVEL,int,YES,,调管单位（1：总调、2：中调、3：地调、4：县（区）调、5：无、6：配调）
dm_device,设备信息表,IS_CAPITAL_ASSETS,int,YES,,是否资产级设备，1-是；2否
dm_device,设备信息表,AMOUNT,int,YES,,数量
dm_device,设备信息表,WARRANTY_PERIOD,varchar,YES,,原厂保修期（月）
dm_device,设备信息表,LICENSE_PLATE_NUMBER,varchar,YES,,车牌号码
dm_device,设备信息表,RUNNING_CODE,varchar,YES,,运行编号
dm_device,设备信息表,RUNMANAGE_OID,varchar,YES,,设备运维部门ID
dm_device,设备信息表,VINDICATE_OID,varchar,YES,,运维（保管）班组ID
dm_device,设备信息表,BASE_VOLTAGE_ID,varchar,YES,,电压等级ID
dm_device,设备信息表,DATA_SOURCE,varchar,YES,,"用来标识数据来自哪个系统MIS,GIS"
dm_device,设备信息表,IS_SHARE_DEVICE,int,YES,,是否共享设备：1-是;2-否
dm_device,设备信息表,IS_ASSAMBLY,int,YES,,是否为组件（1：是；2：否）
dm_device,设备信息表,IS_LABEL,int,YES,,是否贴标（1：是；2：否）
dm_device,设备信息表,RETIRE_DATE,datetime,YES,,退役日期
dm_device,设备信息表,IS_VIRTUAL_DEVICE,int,YES,,是否是虚拟设备：1-是;2-否
dm_device,设备信息表,ASSET_DEVICE_ID,varchar,YES,,所属资产设备ID，如果资产级设备，此字段为空
dm_device,设备信息表,UPDATE_TIME,datetime,YES,,数据更新时间
dm_device_test,设备信息表,ID,varchar,NO,PRI,业务ID
dm_device_test,设备信息表,PROVINCE_CODE,varchar,YES,,省编码
dm_device_test,设备信息表,BUREAU_CODE,varchar,NO,MUL,局编码
dm_device_test,设备信息表,DEVICE_CODE,varchar,YES,UNI,编码
dm_device_test,设备信息表,DEVICE_NAME,varchar,NO,,设备名称
dm_device_test,设备信息表,CLASSIFY_ID,varchar,NO,MUL,设备类别ID
dm_device_test,设备信息表,PLANT_TRANSFER_DATE,datetime,YES,MUL,投运日期
dm_device_test,设备信息表,ASSET_STATE,int,YES,,资产状态：1、运行，2、在建，3、报废，4、待投运，5、闲置，6、删除，7、退运，8、备用，9、停运，10待备用
dm_device_test,设备信息表,VENDOR_ID,varchar,YES,,供应商ID
dm_device_test,设备信息表,VENDOR,varchar,YES,,供应商
dm_device_test,设备信息表,MANUFACTURER_ID,varchar,YES,,厂家ID
dm_device_test,设备信息表,MANUFACTURER,varchar,YES,,厂家名称
dm_device_test,设备信息表,LATEST_MANUFACTURER,varchar,YES,,厂家现用名
dm_device_test,设备信息表,DEVICE_MODEL_ID,varchar,YES,,设备型号ID
dm_device_test,设备信息表,DEVICE_MODEL,varchar,YES,MUL,型号
dm_device_test,设备信息表,LEAVE_FACTORY_NO,varchar,YES,,出厂编号
dm_device_test,设备信息表,LEAVE_FACTORY_DATE,datetime,YES,,出厂日期
dm_device_test,设备信息表,USE_LIFE,int,YES,,使用寿命（年）
dm_device_test,设备信息表,PROPRIETOR_COMPANY_OID,varchar,YES,,产权单位ID
dm_device_test,设备信息表,PROPRIETOR_COMPANY_ONAME,varchar,YES,,产权单位名称
dm_device_test,设备信息表,CAPITAL_ASSETS_CODE,varchar,YES,,资产编码
dm_device_test,设备信息表,MEASUREMENT_UNIT,varchar,YES,,计量单位
dm_device_test,设备信息表,VINDICATOR_UNIT_OID,varchar,YES,,维护单位ID
dm_device_test,设备信息表,VINDICATOR_UNIT_ONAME,varchar,YES,,维护单位名称
dm_device_test,设备信息表,DISPATCH_LEVEL,int,YES,,调管单位（1：总调、2：中调、3：地调、4：县（区）调、5：无、6：配调）
dm_device_test,设备信息表,IS_CAPITAL_ASSETS,int,YES,,是否资产级设备，1-是；2否
dm_device_test,设备信息表,AMOUNT,int,YES,,数量
dm_device_test,设备信息表,WARRANTY_PERIOD,varchar,YES,,原厂保修期（月）
dm_device_test,设备信息表,LICENSE_PLATE_NUMBER,varchar,YES,,车牌号码
dm_device_test,设备信息表,RUNNING_CODE,varchar,YES,,运行编号
dm_device_test,设备信息表,RUNMANAGE_OID,varchar,YES,,设备运维部门ID
dm_device_test,设备信息表,VINDICATE_OID,varchar,YES,,运维（保管）班组ID
dm_device_test,设备信息表,BASE_VOLTAGE_ID,varchar,YES,,电压等级ID
dm_device_test,设备信息表,DATA_SOURCE,varchar,YES,,"用来标识数据来自哪个系统MIS,GIS"
dm_device_test,设备信息表,IS_SHARE_DEVICE,int,YES,,是否共享设备：1-是;2-否
dm_device_test,设备信息表,IS_ASSAMBLY,int,YES,,是否为组件（1：是；2：否）
dm_device_test,设备信息表,IS_LABEL,int,YES,,是否贴标（1：是；2：否）
dm_device_test,设备信息表,RETIRE_DATE,datetime,YES,,退役日期
dm_device_test,设备信息表,IS_VIRTUAL_DEVICE,int,YES,,是否是虚拟设备：1-是;2-否
dm_device_test,设备信息表,ASSET_DEVICE_ID,varchar,YES,,所属资产设备ID，如果资产级设备，此字段为空
dm_device_test,设备信息表,UPDATE_TIME,datetime,YES,,数据更新时间
organization,组织信息表，组织基本信息表,ORG_ID,varchar,NO,PRI,组织ID
organization,组织信息表，组织基本信息表,ORG_NAME,varchar,YES,,组织名称
organization,组织信息表，组织基本信息表,ORG_CODE,varchar,YES,,组织编码
organization,组织信息表，组织基本信息表,ORG_TYPE,int,YES,,组织类型，来自配置项
organization,组织信息表，组织基本信息表,ORG_STRUCTURE_ID,varchar,YES,,组织结构，来自配置项
organization,组织信息表，组织基本信息表,PARENT_ORG_ID,varchar,YES,,父组织ID
organization,组织信息表，组织基本信息表,NAME_FULL_PATH,varchar,YES,,组织全路径
organization,组织信息表，组织基本信息表,ORG_LEVEL,int,YES,,组织节点级别
organization,组织信息表，组织基本信息表,STATE,int,YES,,状态 1已启用；2已注销
organization,组织信息表，组织基本信息表,ORG_PROPERTY,int,YES,,组织性质 1行政组织；2虚拟组织
organization,组织信息表，组织基本信息表,SHORT_SPELL,varchar,YES,,简拼
organization,组织信息表，组织基本信息表,FULL_SPELL,varchar,YES,,全拼
organization,组织信息表，组织基本信息表,SORT_NO,int,YES,,排列序号
organization,组织信息表，组织基本信息表,NOTE,varchar,YES,,描述
organization,组织信息表，组织基本信息表,BASE_ORG_CODE,varchar,YES,,基准组织编码
organization,组织信息表，组织基本信息表,CREATOR_ID,varchar,YES,,创建者ID
organization,组织信息表，组织基本信息表,MODIFIER_ID,varchar,YES,,更新者ID
organization,组织信息表，组织基本信息表,CREATE_TIME,datetime,YES,,创建时间
organization,组织信息表，组织基本信息表,UPDATE_TIME,datetime,YES,,更新时间
pmc_project,投资项目表_超高压,id,varchar,NO,PRI,项目标识
pmc_project,投资项目表_超高压,project_amount_notax,decimal,YES,,项目不含税总投资(元)
pmc_project,投资项目表_超高压,project_status,varchar,YES,,项目状态（30：已启动前期实施/已生成投资项目，35：已生成正式项目，40：已完成可研批复（投资项目储备库），45：申请退回规划中，50：投资计划审批中，52：申请紧急立项中，54：业扩预立项中，56：业扩已预立项，58：业扩立项中，60：已立项，70：项目申报中，80：任务书签订完成，90：项目启动，100：初设（施设）完成，110：实施方案完成，105：建设准备，120：已开工(实施中)，130：计划任务书下达，140：到货验收完成，150：中期检查完成，160：初验完成，170：已验收，173：竣工验收完成，175：总体验收完成，180：项目自评价完成，190：项目综合绩效评价完成，200：项目自验收完成，210：项目验收完成，220：部分投产，230：已投产，240：投运，250：已暂估转固，260：已结算，265：决算中，270：已决算，280：已转固，285：已取消，290：销号，295：申请中止中，300：已中止，305：申请终止中，310：已终止，331：关闭）
pmc_project,投资项目表_超高压,plan_code,varchar,YES,,前期项目编码
pmc_project,投资项目表_超高压,project_name,longtext,YES,,项目名称
pmc_project,投资项目表_超高压,project_charger_id,varchar,YES,,项目负责人ID
pmc_project,投资项目表_超高压,build_addr_city,varchar,YES,,建设地址市编码
pmc_project,投资项目表_超高压,final_accounts_plan_amount,decimal,YES,,决算金额
pmc_project,投资项目表_超高压,build_addr_province,varchar,YES,,建设地址省编码
pmc_project,投资项目表_超高压,pre_send_date,datetime,YES,,预下达时间
pmc_project,投资项目表_超高压,exigence_proj_type,varchar,YES,,应急项目类型（10：A类-生产性应急项目 20：B类-生产性一般应急项目 3：C类-非生产性应急项目）
pmc_project,投资项目表_超高压,project_amount_tax,decimal,YES,,项目含税总投资(元)
pmc_project,投资项目表_超高压,settle_dept,text,YES,,结算单位名称
pmc_project,投资项目表_超高压,final_accounts_date,datetime,YES,,决算时间
pmc_project,投资项目表_超高压,project_complete_date,datetime,YES,,计划投产时间
pmc_project,投资项目表_超高压,cons_dept_id,varchar,YES,,建设单位标识
pmc_project,投资项目表_超高压,audit_finish_date,datetime,YES,,可研审批完成时间
pmc_project,投资项目表_超高压,bureau_code,varchar,YES,,局编码
pmc_project,投资项目表_超高压,plan_project_id,varchar,YES,,前期项目id
pmc_project,投资项目表_超高压,ps_project_id,varchar,YES,,基建单项工程id
